gray,time_s,power_raw,reference_power_interpolated,power_corrected,peak,saturated,background
123,74.4123354000003,5090902.0,6560552.441407448,0.7759867854829371,161,0,0.0
122,74.94200809999893,5177309.0,6558355.457867593,0.7894218349798577,162,0,0.0
121,75.46655829999872,5263777.0,6556179.7215020405,0.802872590990238,161,0,0.0
120,75.99056339999879,5348095.0,6554006.246109589,0.8160039522657749,166,0,0.0
119,76.51686689999951,5435186.0,6551823.237382743,0.8295684732439751,170,0,0.0
118,77.04211079999914,5523426.0,6549644.623679013,0.8433168999782199,171,0,0.0
117,77.57070899999962,5600937.0,6547452.096964683,0.8554376446062926,172,0,0.0
116,78.09730369999852,5678034.0,6545267.880394572,0.8675021563300336,175,0,0.0
115,78.62215990000004,5755905.0,6543090.874798103,0.8796920461810959,180,0,0.0
114,79.14778440000009,5833930.0,6540910.68243658,0.8919140289845359,182,0,0.0
113,79.66729609999857,5900082.0,6538755.844829013,0.9023248673011565,179,0,0.0
112,80.19494219999979,5965893.0,6536567.267247849,0.9126951129062387,180,0,0.0
111,81.2556956999997,6035406.0,6532760.493473846,0.9238676369705122,182,0,0.0
110,81.78110169999854,6090104.0,6531162.177036242,0.9324686533451864,181,0,0.0
109,82.31234889999905,6155778.0,6529546.091319303,0.942757415892016,186,0,0.0
108,82.83790939999926,6212552.0,6527947.304883465,0.9516853782432462,184,0,0.0
107,83.35881369999879,6262682.0,6526362.682886171,0.9595976050216132,186,0,0.0
106,83.89925369999946,6309243.0,6524718.6321224915,0.9669754905504029,188,0,0.0
105,84.42995410000003,6348637.0,6523104.209803816,0.9732539594352022,190,0,0.0
104,84.95441599999867,6389933.0,6521508.765374809,0.9798243366514517,185,0,0.0
103,85.47629549999874,6418590.0,6519921.176760859,0.9844582205806358,192,0,0.0
102,85.99739330000011,6453680.0,6518335.966125001,0.9900809092288261,185,0,0.0
101,86.52986689999852,6475017.0,6516716.149626008,0.9936012020980227,188,0,0.0
100,87.05920679999872,6499690.0,6515105.866029604,0.9976338272398636,192,0,0.0
99,87.58360109999921,6513880.0,6513510.62724383,1.0000567087055365,185,0,0.0
